IMP ITER PERF-∅/ł PERF-d/l FUT OPT
1-SG iish anásh íí eesh adeesh oosh
2-SG ani anání ííní ííní adíí oó
3-SG ii aná íí ee adoo oo
3o-SG ii anéí ayíí ayoo iidoo ayó
3a-SG aji ańjí ajíí ajoo azhdoo ajó
3i-SG eʼe anáʼá iʼíí oʼoo adoo oʼó
3s-SG aha anáhá ahóó - ahodoo ahó
1-DPL iid anéiid iid iid adiid ood
2-DPL ooh anáh oo ooh adooh ooh
1-PL adeii ańdeii adasii adasii adadii adaoo
2-PL adaah ańdaah adasoo adasooh adadooh adaooh
3-PL adaa ańdaa adaaz adaas adadoo adao
3o-PL adei ańdei adeiz adeis adeidoo adayó
3a-PL adaji ańdaji adajiz adajis adazhdoo adajó
PASS-A ii aná ee - adoo oo
PASS-B abiʼdi anábiʼdi abiʼdoo - abidiʼdoo abiʼdó
REV anásh - anáá anáásh ańdeesh anáosh
SEMELIT anáánásh - anáánáá anáánáásh anáádeesh anáánáosh

p. 478
